"flusesn","year","week","dist","agecat","n_hosp_flu"
1112,2011,45,"OUSD","18 to 49",1
1112,2011,47,"WCCUSD","65+",1
1112,2011,48,"OUSD","18 to 49",1
1112,2011,52,"OUSD","18 to 49",1
1112,2011,52,"OUSD","50 to 64",1
1112,2011,52,"OUSD","65+",1
1112,2011,52,"WCCUSD","18 to 49",1
1112,2012,1,"OUSD","50 to 64",1
1112,2012,1,"OUSD","65+",2
1112,2012,1,"WCCUSD","50 to 64",1
1112,2012,2,"OUSD","65+",1
1112,2012,3,"OUSD","0 to 4",1
1112,2012,3,"OUSD","50 to 64",1
1112,2012,3,"OUSD","65+",1
1112,2012,3,"WCCUSD","65+",1
1112,2012,4,"WCCUSD","65+",1
1112,2012,5,"OUSD","65+",1
1112,2012,5,"WCCUSD","50 to 64",2
1112,2012,5,"WCCUSD","65+",1
1112,2012,6,"WCCUSD","65+",1
1112,2012,7,"OUSD","18 to 49",2
1112,2012,7,"OUSD","50 to 64",1
1112,2012,7,"OUSD","65+",1
1112,2012,7,"WCCUSD","0 to 4",1
1112,2012,7,"WCCUSD","65+",1
1112,2012,8,"OUSD","0 to 4",1
1112,2012,8,"OUSD","18 to 49",2
1112,2012,8,"OUSD","5 to 11",1
1112,2012,8,"OUSD","50 to 64",1
1112,2012,8,"OUSD","65+",1
1112,2012,9,"OUSD","0 to 4",1
1112,2012,9,"OUSD","5 to 11",1
1112,2012,9,"OUSD","50 to 64",1
1112,2012,9,"OUSD","65+",1
1112,2012,10,"OUSD","50 to 64",1
1112,2012,10,"OUSD","65+",4
1112,2012,10,"WCCUSD","0 to 4",1
1112,2012,10,"WCCUSD","50 to 64",1
1112,2012,11,"OUSD","0 to 4",1
1112,2012,11,"OUSD","50 to 64",2
1112,2012,11,"OUSD","65+",4
1112,2012,11,"WCCUSD","18 to 49",2
1112,2012,11,"WCCUSD","65+",2
1112,2012,12,"OUSD","0 to 4",2
1112,2012,12,"OUSD","12 to 17",2
1112,2012,12,"OUSD","18 to 49",1
1112,2012,12,"OUSD","5 to 11",1
1112,2012,12,"OUSD","50 to 64",2
1112,2012,12,"OUSD","65+",5
1112,2012,12,"WCCUSD","18 to 49",1
1112,2012,12,"WCCUSD","65+",2
1112,2012,13,"OUSD","0 to 4",1
1112,2012,13,"OUSD","18 to 49",1
1112,2012,13,"OUSD","5 to 11",1
1112,2012,13,"OUSD","50 to 64",2
1112,2012,13,"OUSD","65+",3
1112,2012,13,"WCCUSD","0 to 4",2
1112,2012,13,"WCCUSD","5 to 11",1
1112,2012,13,"WCCUSD","50 to 64",2
1112,2012,13,"WCCUSD","65+",1
1112,2012,14,"OUSD","18 to 49",1
